Url,Words,Title,Description,Short_content,staus_code,Load_time,Short_content
 , , , , ,, ,
https://chasereiner.com/cart,44,Chasereiner.com,None,OK,200,4.5871782302856445,True
https://chasereiner.com/contact,81,Contact Chase Reiner Today (Via Email or Phone) ,None,OK,200,1.23563814163208,False
https://chasereiner.com/privacy-policy,1733,Privacy Policy ,None,OK,200,1.1558754444122314,False
https://chasereiner.com/terms-and-conditions,946,Terms and Conditions ,None,OK,200,1.1870453357696533,False
https://chasereiner.com/cookies-policy,662,Cookies Policy ,None,OK,200,1.1941242218017578,False
https://chasereiner.com/learn/category/Tiktok,115,Tiktok — Learn SEO For 2021 With Chase Reiner  ,None,OK,200,1.1325442790985107,False
https://chasereiner.com/earnings-disclaimer,255,Earnings Disclaimer ,None,OK,200,1.2544443607330322,False
https://chasereiner.com/refund-cancellation-policy,340,Refund and Cancellation Policy ,None,OK,200,2.063602924346924,False
https://chasereiner.com/learn/category/tiktok,73,tiktok — Learn SEO For 2021 With Chase Reiner  ,None,OK,200,1.4566900730133057,False
